,name,artist,id,duration,popularity,genres,playlist,features,created_at
79,'Never Be the Same','Camila Cabello',4eWQlBRaTjPPUlzacqEeoQ,226973,72,"['dance pop', 'pop', 'post-teen pop']",Hit Rewind,"{""danceability"": 0.637, ""energy"": 0.713, ""key"": 0, ""loudness"": -4.333, ""mode"": 1, ""speechiness"": 0.0747, ""acousticness"": 0.181, ""instrumentalness"": 0.000637, ""liveness"": 0.137, ""valence"": 0.243, ""tempo"": 129.923, ""type"": ""audio_features"", ""id"": ""4eWQlBRaTjPPUlzacqEeoQ"", ""uri"": ""spotify:track:4eWQlBRaTjPPUlzacqEeoQ"", ""track_href"": ""https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ"", ""duration_ms"": 226973, ""time_signature"": 4}",1668281536.444189
78,'Part Of Me','Katy Perry',1nZzRJbFvCEct3uzu04ZoL,216160,74,"['dance pop', 'pop']",Hit Rewind,"{""danceability"": 0.678, ""energy"": 0.918, ""key"": 5, ""loudness"": -4.63, ""mode"": 1, ""speechiness"": 0.0355, ""acousticness"": 0.000417, ""instrumentalness"": 0, ""liveness"": 0.0744, ""valence"": 0.769, ""tempo"": 130.028, ""type"": ""audio_features"", ""id"": ""1nZzRJbFvCEct3uzu04ZoL"", ""uri"": ""spotify:track:1nZzRJbFvCEct3uzu04ZoL"", ""track_href"": ""https://api.spotify.com/v1/tracks/1nZzRJbFvCEct3uzu04ZoL"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1nZzRJbFvCEct3uzu04ZoL"", ""duration_ms"": 216160, ""time_signature"": 4}",1668281535.910221
77,'Happy Now','Zedd',4keoy2fqgwGnbWlm3ZVZFa,207029,69,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house']",Hit Rewind,"{""danceability"": 0.503, ""energy"": 0.741, ""key"": 4, ""loudness"": -5.128, ""mode"": 1, ""speechiness"": 0.047, ""acousticness"": 0.579, ""instrumentalness"": 1.49e-06, ""liveness"": 0.0712, ""valence"": 0.458, ""tempo"": 88.335, ""type"": ""audio_features"", ""id"": ""4keoy2fqgwGnbWlm3ZVZFa"", ""uri"": ""spotify:track:4keoy2fqgwGnbWlm3ZVZFa"", ""track_href"": ""https://api.spotify.com/v1/tracks/4keoy2fqgwGnbWlm3ZVZFa"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4keoy2fqgwGnbWlm3ZVZFa"", ""duration_ms"": 207030, ""time_signature"": 3}",1668281535.387013
76,'September Song','JP Cooper',0zbzrhfVS9S2TszW3wLQZ7,220290,70,"['dance pop', 'neo mellow', 'pop', 'tropical house', 'uk pop']",Hit Rewind,"{""danceability"": 0.614, ""energy"": 0.615, ""key"": 0, ""loudness"": -6.7, ""mode"": 0, ""speechiness"": 0.0444, ""acousticness"": 0.054, ""instrumentalness"": 0, ""liveness"": 0.0921, ""valence"": 0.374, ""tempo"": 95.941, ""type"": ""audio_features"", ""id"": ""0zbzrhfVS9S2TszW3wLQZ7"", ""uri"": ""spotify:track:0zbzrhfVS9S2TszW3wLQZ7"", ""track_href"": ""https://api.spotify.com/v1/tracks/0zbzrhfVS9S2TszW3wLQZ7"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/0zbzrhfVS9S2TszW3wLQZ7"", ""duration_ms"": 220291, ""time_signature"": 4}",1668281534.864706
75,'Pompeii','Bastille',6xwimEC2kdlu8Yp3hyNtUx,216760,43,"['metropopolis', 'modern rock', 'pop', 'pop rock']",Hit Rewind,"{""danceability"": 0.68, ""energy"": 0.711, ""key"": 9, ""loudness"": -6.371, ""mode"": 1, ""speechiness"": 0.0414, ""acousticness"": 0.0918, ""instrumentalness"": 0, ""liveness"": 0.241, ""valence"": 0.571, ""tempo"": 127.436, ""type"": ""audio_features"", ""id"": ""6xwimEC2kdlu8Yp3hyNtUx"", ""uri"": ""spotify:track:6xwimEC2kdlu8Yp3hyNtUx"", ""track_href"": ""https://api.spotify.com/v1/tracks/6xwimEC2kdlu8Yp3hyNtUx"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/6xwimEC2kdlu8Yp3hyNtUx"", ""duration_ms"": 216760, ""time_signature"": 4}",1668281534.335226
74,'Closer','The Chainsmokers',7BKLCZ1jbUBVqRi2FVlTVw,244960,83,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",Hit Rewind,"{""danceability"": 0.748, ""energy"": 0.524, ""key"": 8, ""loudness"": -5.599, ""mode"": 1, ""speechiness"": 0.0338, ""acousticness"": 0.414, ""instrumentalness"": 0, ""liveness"": 0.111, ""valence"": 0.661, ""tempo"": 95.01, ""type"": ""audio_features"", ""id"": ""7BKLCZ1jbUBVqRi2FVlTVw"", ""uri"": ""spotify:track:7BKLCZ1jbUBVqRi2FVlTVw"", ""track_href"": ""https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw"", ""duration_ms"": 244960, ""time_signature"": 4}",1668281533.806167
73,'Let Her Go','Passenger',2pUpNOgJBIBCcjyQZQ00qU,252733,73,"['folk-pop', 'neo mellow']",Hit Rewind,"{""danceability"": 0.445, ""energy"": 0.541, ""key"": 7, ""loudness"": -7.36, ""mode"": 1, ""speechiness"": 0.0736, ""acousticness"": 0.359, ""instrumentalness"": 0, ""liveness"": 0.109, ""valence"": 0.217, ""tempo"": 76.289, ""type"": ""audio_features"", ""id"": ""2pUpNOgJBIBCcjyQZQ00qU"", ""uri"": ""spotify:track:2pUpNOgJBIBCcjyQZQ00qU"", ""track_href"": ""https://api.spotify.com/v1/tracks/2pUpNOgJBIBCcjyQZQ00qU"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2pUpNOgJBIBCcjyQZQ00qU"", ""duration_ms"": 252733, ""time_signature"": 4}",1668281533.280313
72,'Love Yourself','Justin Bieber',50kpGaPAhYJ3sGmk6vplg0,233720,83,"['canadian pop', 'pop']",Hit Rewind,"{""danceability"": 0.609, ""energy"": 0.378, ""key"": 4, ""loudness"": -9.828, ""mode"": 1, ""speechiness"": 0.438, ""acousticness"": 0.835, ""instrumentalness"": 0, ""liveness"": 0.28, ""valence"": 0.515, ""tempo"": 100.418, ""type"": ""audio_features"", ""id"": ""50kpGaPAhYJ3sGmk6vplg0"", ""uri"": ""spotify:track:50kpGaPAhYJ3sGmk6vplg0"", ""track_href"": ""https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0"", ""duration_ms"": 233720, ""time_signature"": 4}",1668281532.753655
71,'Cool Kids','Echosmith',13P5rwmk2EsoFRIz9UCeh9,237626,75,['indie poptimism'],Hit Rewind,"{""danceability"": 0.719, ""energy"": 0.671, ""key"": 8, ""loudness"": -6.279, ""mode"": 1, ""speechiness"": 0.0336, ""acousticness"": 0.0372, ""instrumentalness"": 8.21e-06, ""liveness"": 0.12, ""valence"": 0.786, ""tempo"": 130.027, ""type"": ""audio_features"", ""id"": ""13P5rwmk2EsoFRIz9UCeh9"", ""uri"": ""spotify:track:13P5rwmk2EsoFRIz9UCeh9"", ""track_href"": ""https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9"", ""duration_ms"": 237627, ""time_signature"": 4}",1668281532.229463
70,'Hymn for the Weekend','Coldplay',3RiPr603aXAoi4GHyXx0uy,258266,84,"['permanent wave', 'pop']",Hit Rewind,"{""danceability"": 0.491, ""energy"": 0.693, ""key"": 0, ""loudness"": -6.487, ""mode"": 0, ""speechiness"": 0.0377, ""acousticness"": 0.211, ""instrumentalness"": 6.92e-06, ""liveness"": 0.325, ""valence"": 0.412, ""tempo"": 90.027, ""type"": ""audio_features"", ""id"": ""3RiPr603aXAoi4GHyXx0uy"", ""uri"": ""spotify:track:3RiPr603aXAoi4GHyXx0uy"", ""track_href"": ""https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy"", ""duration_ms"": 258267, ""time_signature"": 4}",1668281531.704963
